epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7609.43,0.50086,0.31571,0.82023,0.41719,0.26319,0.34309,0.15298,2.23122,2.28933,1.49366,0.005842,0.005842,0.005842
44,7783.33,0.49703,0.31287,0.82036,0.41151,0.26208,0.3396,0.15222,2.23454,2.2857,1.49618,0.005743,0.005743,0.005743
45,7956.83,0.48928,0.30763,0.81905,0.41555,0.2649,0.34296,0.15193,2.24753,2.26797,1.50494,0.005644,0.005644,0.005644
46,8130.49,0.48936,0.30897,0.82056,0.41118,0.26729,0.3419,0.15309,2.24065,2.26886,1.50428,0.005545,0.005545,0.005545
47,8304.09,0.48431,0.30597,0.82082,0.4127,0.26343,0.34149,0.15301,2.23833,2.2728,1.50644,0.005446,0.005446,0.005446
48,8478.7,0.48406,0.30587,0.81917,0.41158,0.2605,0.3406,0.15257,2.24335,2.28272,1.50497,0.005347,0.005347,0.005347
49,8653.04,0.47395,0.30154,0.81694,0.41114,0.25897,0.33943,0.15119,2.25074,2.2971,1.50735,0.005248,0.005248,0.005248
50,8827.36,0.47434,0.30062,0.81707,0.40929,0.26303,0.3416,0.15045,2.25553,2.27254,1.51075,0.005149,0.005149,0.005149
51,9001.43,0.46738,0.29737,0.81685,0.41032,0.26147,0.33939,0.15074,2.25275,2.28363,1.51166,0.00505,0.00505,0.00505
52,9175.82,0.46845,0.29806,0.81543,0.40955,0.26417,0.34058,0.15087,2.25216,2.27233,1.51209,0.004951,0.004951,0.004951
53,9349.14,0.46043,0.29366,0.8137,0.40909,0.26453,0.33955,0.15117,2.24584,2.27271,1.51103,0.004852,0.004852,0.004852
54,9523.15,0.46054,0.29251,0.8143,0.40822,0.26428,0.33908,0.15168,2.24308,2.27109,1.51212,0.004753,0.004753,0.004753
55,9697.42,0.45457,0.28979,0.81387,0.40721,0.26243,0.33834,0.15133,2.23767,2.26863,1.5096,0.004654,0.004654,0.004654
56,9871.08,0.45054,0.28682,0.81313,0.40649,0.26221,0.33745,0.15078,2.23593,2.27488,1.50915,0.004555,0.004555,0.004555
57,10045.1,0.44741,0.28599,0.81129,0.40111,0.26121,0.33706,0.1509,2.23344,2.266,1.5081,0.004456,0.004456,0.004456
58,10218.4,0.44433,0.28408,0.81206,0.40027,0.26116,0.33711,0.15092,2.23282,2.27728,1.50994,0.004357,0.004357,0.004357
59,10392.6,0.44067,0.28196,0.81189,0.40221,0.26087,0.33663,0.15111,2.23171,2.28437,1.50799,0.004258,0.004258,0.004258
60,10566.9,0.44047,0.28141,0.81118,0.40261,0.25942,0.33646,0.15179,2.22967,2.30091,1.50967,0.004159,0.004159,0.004159
61,10742.4,0.43575,0.2791,0.81087,0.40121,0.25927,0.33511,0.15128,2.22854,2.318,1.5099,0.00406,0.00406,0.00406
